EffectGroupID,EffectType,GaugeID,GaugeDelta,EvidenceID,TrustCharacterID,TrustDelta
eff_article_correct,GaugeChange,Credibility,1,,,
eff_article_wrong,GaugeChange,Credibility,-1,,,
eff_ch1_newsroom_obedient,TrustChange,,,,Editor,1
eff_ch3_room4_read_record,GaugeChange,Credibility,1,,,
eff_ch3_room4_touch_wall,GaugeChange,Erosion,2,,,
eff_ch3_warehouse_read_ritual,GaugeChange,Credibility,1,,,
eff_ch4a_library_note_articles,GaugeChange,Credibility,3,,,
eff_ch5_guarded_door_listen,GaugeChange,Erosion,2,,,
eff_ch5_guarded_door_steady,TrustChange,,,,Songsoon,2
eff_ch5_observe,GaugeChange,Credibility,1,,,
eff_ch5_observe,GaugeChange,Erosion,1,,,
eff_editor_correct,GaugeChange,Credibility,2,,,
eff_editor_defy,GaugeChange,Credibility,-1,,,
eff_editor_wrong,GaugeChange,Credibility,-1,,,
eff_ipangyu_correct,GaugeChange,Credibility,1,,,
eff_ipangyu_correct,GaugeChange,Erosion,1,,,
eff_ipangyu_deal_accept,EvidenceGain,,,EvIpangyuName,,
eff_ipangyu_deal_accept,GaugeChange,Erosion,1,,,
eff_ipangyu_wrong,GaugeChange,Credibility,-1,,,
eff_okryeon_diary,GaugeChange,Credibility,1,,,
eff_okryeon_hanbok,GaugeChange,Credibility,1,,,
eff_okryeon_hanbok,GaugeChange,Erosion,1,,,
eff_okryeon_wrong,GaugeChange,Credibility,-1,,,
eff_songsoon_trust,TrustChange,,,,Songsoon,1
